energy_eV,mu,od,mass_absorption,beta,delta,i0,theta_deg,phi_deg
270.400150,2.83875975e+3,0.0225741529431935,2838.75975020191,0.00010358053891786,0.0169258829711763,,55,0
270.499540,2.91480554e+3,0.0247742073633643,2914.80554256392,0.000106316216126514,0.0169106593313255,,55,0
270.600560,2.90916763e+3,0.0246110988135563,2909.16762797533,0.00010607096277298,0.0169464106107247,,55,0
270.699580,2.75769433e+3,0.0202288774725391,2757.69433207501,0.000100511325457495,0.0171027810324272,,55,0
270.800200,2.83750832e+3,0.0225379481175367,2837.50831540596,0.000103381925746491,0.017107772420937,,55,0
270.900090,2.78165675e+3,0.020922125798105,2781.65674761253,0.000101309656749665,0.0171853543808753,,55,0
271.000120,2.72713893e+3,0.019344889632351,2727.13892620452,0.0000992874220902243,0.0172722861609165,,55,0
271.096220,2.68281639e+3,0.0180626098311139,2682.81639371585,0.000097639139878047,0.0173570511035082,,55,0
271.199800,2.65626947e+3,0.017294589965626,2656.2694689283,0.0000966360614241872,0.0174404235682519,,55,0
271.300020,2.64314747e+3,0.0169149620004307,2643.14747105799,0.0000961231566655749,0.0175193519456923,,55,0
271.400420,2.76257726e+3,0.0203701436825634,2762.57725714122,0.000100429285361578,0.0175062745634077,,55,0
271.499970,2.70400280e+3,0.0186755463842195,2704.00279957073,0.0000982638569372071,0.0175774386590242,,55,0
271.600250,2.64428430e+3,0.0169478513263032,2644.28430423052,0.0000960581984670603,0.0176670909876169,,55,0
271.700590,2.64755049e+3,0.0170423441501209,2647.55048782755,0.0000961413297782401,0.0177248142368811,,55,0
271.801030,2.60534040e+3,0.0158211786216165,2605.34039549126,0.000094573580310203,0.017802175942149,,55,0
271.900210,2.49779211e+3,0.0127097365094577,2497.79211003146,0.0000906365157438924,0.0179331795072305,,55,0
271.999850,2.62122649e+3,0.0162807738496855,2621.22649492765,0.0000950806933676079,0.0179419719743764,,55,0
272.100890,2.58440380e+3,0.0152154692100601,2584.40379877773,0.000093710199836628,0.0180114804429538,,55,0
272.200040,2.57168018e+3,0.0148473666564926,2571.68018153451,0.0000932148765832997,0.0180745911269174,,55,0
272.300750,2.52876811e+3,0.0136058923418506,2528.76810759286,0.0000916255561334852,0.018154773249929,,55,0
272.401030,2.50555053e+3,0.0129341926049474,2505.55052794854,0.0000907508863682127,0.0182239892651825,,55,0
272.499730,2.34404186e+3,0.00826164147956809,2344.0418627884,0.0000848703010797146,0.0183800181034149,,55,0
272.600130,2.46015742e+3,0.0116209404198954,2460.15742218361,0.0000890416696243951,0.0184065360901134,,55,0
272.695190,2.37028597e+3,0.00902090064986073,2370.28597051758,0.0000857590030999316,0.0185108416286382,,55,0
272.800050,2.36799476e+3,0.00895461441345817,2367.99475929857,0.0000856431725579412,0.0185970491007772,,55,0
272.899170,2.36026714e+3,0.00873104929103757,2360.2671382347,0.000085332682956759,0.01867823797361,,55,0
273.000400,2.37429285e+3,0.00913682218596452,2374.2928464312,0.0000858079361021797,0.018748092343326,,55,0
273.099610,2.31385016e+3,0.00738817576133366,2313.85015842182,0.0000835931338364628,0.0188611515519,,55,0
273.200440,2.47205165e+3,0.011965048258738,2472.05165217303,0.0000892755638838635,0.0188672715175551,,55,0
273.299500,2.47560867e+3,0.0120679551082295,2475.60867005282,0.0000893716165330147,0.0189103560877169,,55,0
273.400240,2.35294197e+3,0.00851912729668658,2352.94196671548,0.000084911943226817,0.0190276179515919,,55,0
273.499600,2.31922247e+3,0.0075436003434007,2319.22247348251,0.000083664683175197,0.0191259491803792,,55,0
273.599610,2.33540583e+3,0.00801179535152893,2335.40582787894,0.0000842176931406574,0.0191959421586878,,55,0
273.700680,2.25410161e+3,0.00565961132969549,2254.1016128188,0.0000812557435762116,0.0193122227848697,,55,0
273.799900,2.27264740e+3,0.00619615315194233,2272.64740315654,0.0000818945934716382,0.0193906493610106,,55,0
273.900600,2.25426844e+3,0.00566443770381135,2254.26843843934,0.0000812024443555103,0.0194785729987301,,55,0
274.000310,2.20556424e+3,0.00425539349421201,2205.56424166599,0.0000794191278369342,0.0195860736497273,,55,0
274.100250,2.21852811e+3,0.00463044671768548,2218.5281116937,0.0000798568104480977,0.0196708519878224,,55,0
274.200990,2.21318114e+3,0.00447575543345344,2213.18114337643,0.0000796350759153171,0.0197577645633828,,55,0
274.299960,2.15379548e+3,0.00275768936448707,2153.7954780279,0.0000774702882898396,0.0198756700678252,,55,0
274.399410,2.20258516e+3,0.00416920669933263,2202.58515939982,0.0000791965003974734,0.0199543611550208,,55,0
274.499790,2.27932263e+3,0.00638927183465064,2279.32263041993,0.0000819257152152185,0.0200001367288921,,55,0
274.600010,2.19059286e+3,0.00382226178624479,2190.59286476391,0.0000787077641543141,0.0201143157207005,,55,0
274.698610,2.21159748e+3,0.00442993889832453,2211.59747586111,0.0000794339353917639,0.0201916526075362,,55,0
274.800110,2.12034636e+3,0.00178998461476377,2120.34636250126,0.0000761283405063348,0.0203193301657352,,55,0
274.900270,2.07918232e+3,0.00059908193152106,2079.18231794721,0.0000746231989233364,0.0204465166389219,,55,0
275.000920,2.17138059e+3,0.00326643822681636,2171.38059319341,0.0000779037315777721,0.0205096515629354,,55,0
275.100130,2.12683980e+3,0.00197784385644629,2126.83979500697,0.0000762782002825996,0.0206150460692518,,55,0
275.204130,2.11078926e+3,0.00151349137217222,2110.78925903925,0.0000756739465755316,0.0207272173728617,,55,0
275.300720,2.18490986e+3,0.00365784863587022,2184.90985611634,0.0000783037628070566,0.0207811259821937,,55,0
275.400330,2.00997634e+3,-0.001403092229867,2009.976338698,0.0000720083640294184,0.0209471206429078,,55,0
275.500370,2.07978086e+3,0.000616398128113958,2079.78085945534,0.0000744820885411297,0.0210367264696507,,55,0
275.600220,2.07473745e+3,0.000470489138424356,2074.73745478682,0.0000742745523313113,0.0211372635001684,,55,0
275.700740,2.04892659e+3,-0.000276235930729635,2048.9265934555,0.0000733237930648729,0.0212510787049803,,55,0
275.800660,2.05505002e+3,-0.0000990813254839878,2055.05001576859,0.000073516284648125,0.0213511245576006,,55,0
275.900790,1.97037300e+3,-0.002548842557905,1970.37300400507,0.0000704615123103894,0.0214966016490802,,55,0
276.000060,2.06231117e+3,0.000110988524850735,2062.31116716267,0.00007372274077594,0.0215677952178885,,55,0
276.100370,1.93086139e+3,-0.00369193940614827,1930.8613879404,0.0000689986454330322,0.0217232321541639,,55,0
276.200620,1.92382955e+3,-0.00389537501701248,1923.82955178172,0.0000687224126679565,0.0218527843775332,,55,0
276.299900,1.92515464e+3,-0.00385703941576152,1925.15463771873,0.0000687450366306771,0.0219726787776289,,55,0
