,energy_eV,delta_kk
0,270.40015,0.0007888003119972714
1,270.49954,0.0007834657985458356
2,270.60056,0.0007780130938115295
3,270.69958,0.0007726331209167849
4,270.8002,0.0007671375659926353
5,270.90009,0.0007616478405325197
6,271.00012,0.0007561147017238676
7,271.09622,0.0007507707648781621
8,271.1998,0.0007449716953938821
9,271.30002,0.0007393257830322505
10,271.40042,0.000733636087387795
11,271.49997,0.0007279537124673144
12,271.60025,0.0007221966590335195
13,271.70059,0.0007163981154004818
14,271.80103,0.0007105512726123057
15,271.90021,0.0007047444486859463
16,271.99985,0.000698868147564728
17,272.10089,0.0006928674552006374
18,272.20004,0.0006869426398021266
19,272.30075,0.0006808764869867163
20,272.40103,0.000674796255393454
21,272.49973,0.0006687704047285598
22,272.60013,0.0006625912408783561
23,272.69519,0.0006567048523977353
24,272.80005,0.0006501624514035342
25,272.89917,0.000643928023765805
26,273.0004,0.0006375205133102071
27,273.09961,0.0006311879137207851
28,273.20044,0.0006246982817133666
29,273.2995,0.0006182796626539535
30,273.40024,0.0006117069176251541
31,273.4996,0.0006051534772225632
32,273.59961,0.0005985125220455819
33,273.70068,0.0005917758516688139
34,273.7999,0.0005850764697565623
35,273.9006,0.0005782271653957969
36,274.00031,0.0005713873142683892
37,274.10025,0.0005644738214890142
38,274.20099,0.0005574453357863487
39,274.29996,0.0005504799789855697
40,274.39941,0.0005434185114145062
41,274.49979,0.0005362273533008136
42,274.60001,0.0005289832558266587
43,274.69861,0.0005217902921703383
44,274.80011,0.0005143163028758559
45,274.90027,0.000506871439699884
46,275.00092,0.0004993190844825634
47,275.10013,0.0004918016008513188
48,275.20413,0.00048384250232286967
49,275.30072,0.0004763778946646061
50,275.40033,0.0004686036133417216
51,275.50037,0.000460715150896382
52,275.60022,0.0004527605984627279
53,275.70074,0.000444669951418209
54,275.80066,0.0004365406918995297
55,275.90079,0.00042830579920312444
56,276.00006,0.00042005364242934576
57,276.10037,0.00041162364174616284
58,276.20062,0.00040310193541595363
59,276.2999,0.00039456640951523943
60,276.40009,0.0003858550248893815
61,276.4993,0.00037712711415215924
62,276.60013,0.0003681493460041215
63,276.70059,0.00035909553511222496
64,276.79739,0.00035026650785191103
65,276.89978,0.00034080583337026235
66,276.99945,0.00033149195647940826
67,277.09995,0.0003219689194288814
68,277.20004,0.00031236196314417974
69,277.30118,0.00030252663698683964
70,277.40009,0.00029277853460560603
71,277.5,0.0002827977920173687
72,277.60211,0.0002724536586433014
73,277.70038,0.00026235709310952563
74,277.8002,0.0002519547161554171
75,277.90063,0.00024133487816050002
76,278.00006,0.0002306637683289919
77,278.09979,0.00021979826766678365
78,278.19968,0.00020874713123157082
79,278.2941,0.0001981414032761957
80,278.39969,0.00018609012703328293
81,278.49985,0.00017446627534635034
82,278.59308,0.00016347218370587702
83,278.69849,0.00015083190397225567
84,278.79987,0.00013845689934400697
85,278.89798,0.0001262696442856571
86,279.0,0.00011336798521420304
87,279.10004,0.00010048133323498445
88,279.20035,8.731682220829815e-05
89,279.30057,7.391157623405216e-05
90,279.40073,6.025244315127087e-05
91,279.50055,4.636947317592384e-05
92,279.60086,3.2137274160555336e-05
93,279.70035,1.7733550746734064e-05
94,279.80106,2.852297284600435e-06
95,279.89987,-1.179268224687842e-05
96,279.99991,-2.6981611408304148e-05
97,280.09982,-4.361333980888245e-05
98,280.20001,-6.0060880851554746e-05
99,280.30029,-7.523717757854762e-05
100,280.40027,-9.18423052483619e-05
101,280.49875,-0.00011239527090821354
102,280.59982,-0.00013082509061096927
103,280.7001,-0.00014903505292107285
104,280.79822,-0.00016886634248699842
105,280.90073,-0.000191591236675167
106,281.00024,-0.0002112647253444603
107,281.1004,-0.00022748077360949988
108,281.19995,-0.0002492809721821381
109,281.29987,-0.00027383522028835944
110,281.40106,-0.00029736971993575453
111,281.49976,-0.0003193583157720979
112,281.60049,-0.0003453397347016474
113,281.70029,-0.000375967147733223
114,281.80005,-0.0004018040470398631
115,281.8999,-0.0004275799754944041
116,282.00058,-0.00045870126365094455
117,282.0993,-0.0004918717699501507
118,282.19955,-0.0005239566151323377
119,282.25116,-0.000538230502635933
120,282.29965,-0.0005550533986060628
121,282.35013,-0.0005754941338130736
122,282.39719,-0.0005927976043023407
123,282.45273,-0.0006105643326458853
124,282.50034,-0.0006279214553546535
125,282.55008,-0.0006507571322992178
126,282.60016,-0.000670781741769605
127,282.65082,-0.000691152185881669
128,282.70041,-0.0007156070658583734
129,282.75073,-0.0007397514211073923
130,282.79825,-0.0007622923346011749
131,282.85019,-0.0007863646992597099
132,282.89932,-0.0008126046168002673
133,282.95023,-0.0008416740319451103
134,282.99963,-0.0008689405942910595
135,283.04611,-0.0008960336760344635
136,283.10117,-0.0009310871158665321
137,283.15024,-0.0009638927706722121
138,283.20001,-0.0009975698384001206
139,283.25064,-0.001034693186302019
140,283.30032,-0.001075108038317246
141,283.35028,-0.00111704945492354
142,283.40021,-0.0011597454516639341
143,283.44995,-0.0012049330589878507
144,283.50021,-0.0012567559530641162
145,283.54987,-0.0013113335635297017
146,283.60022,-0.0013690288899389823
147,283.65002,-0.0014297835060021425
148,283.70178,-0.0015038169638918251
149,283.75027,-0.0015842706475063663
150,283.80017,-0.0016723133867413934
151,283.84973,-0.0017716210198747014
152,283.89981,-0.0018922084382874222
153,283.94989,-0.0020295184051330544
154,284.00085,-0.002171964012903266
155,284.05072,-0.0023702256727926208
156,284.09991,-0.002650572640013375
157,284.15033,-0.0030513053965062196
158,284.20032,-0.003576696822329931
159,284.25107,-0.0038255925499424822
160,284.29999,-0.0033037370393565755
161,284.35214,-0.00271390346190745
162,284.40082,-0.0022365055474677267
163,284.44986,-0.001412194659351866
164,284.50058,-0.0006947017472579479
165,284.5509,-0.00040528463381931887
166,284.60178,-0.00013066462316244535
167,284.65036,0.00017319504746839227
168,284.70114,0.00021555962245426965
169,284.75085,0.0001558285621131556
170,284.79984,5.74674481613089e-06
171,284.84991,-0.0001666781806742314
172,284.90152,-0.000280015871723413
173,284.95065,-0.00032762536841542535
174,284.99997,-0.0003499897053505257
175,285.05008,-0.00036108369102398765
176,285.10016,-0.00039474741388806264
177,285.15115,-0.0004650110531457106
178,285.19943,-0.0005450926345386762
179,285.25018,-0.0006321038329492375
180,285.30048,-0.0007350942311229945
181,285.35004,-0.0008756024659379656
182,285.40073,-0.0010446638364523869
183,285.45044,-0.0011676154801848367
184,285.50006,-0.0011601814044632727
185,285.55054,-0.0011961008367485176
186,285.60052,-0.001282708011704078
187,285.65002,-0.0012102119685529183
188,285.70184,-0.0010298886926635648
189,285.75116,-0.0008385434584254288
190,285.80042,-0.0006817678175865329
191,285.85016,-0.0005754767380504772
192,285.90076,-0.0004971601478852238
193,285.9494,-0.00046202789467520117
194,285.99963,-0.00046451061163345857
195,286.05075,-0.0004526380650271097
196,286.09906,-0.00043233522021195934
197,286.14642,-0.0003985190980568883
198,286.20029,-0.00031227798848504606
199,286.24945,-0.0002011077324416347
200,286.30014,-8.920952620699294e-05
201,286.35059,-6.924649973798023e-05
202,286.4003,-5.340590285318664e-05
203,286.44913,-1.1199931950102667e-05
204,286.50101,-8.459598024334283e-06
205,286.55011,-1.9376009081820486e-05
206,286.5994,-6.642424540282005e-05
207,286.64996,-9.38387003877733e-05
208,286.70041,-9.329554716509564e-05
209,286.75113,-0.0001097080806706933
210,286.79861,-0.00014784653903368206
211,286.85007,-0.00020487530487324273
212,286.89957,-0.0002691836339320525
213,286.95007,-0.00033481545014098316
214,286.99997,-0.00038478683177972406
215,287.05023,-0.0004399242896766341
216,287.10068,-0.0004906548949091194
217,287.15024,-0.0005182589312906009
218,287.20038,-0.0005218882305252512
219,287.25015,-0.0005345473585706007
220,287.29974,-0.0005546496727127873
221,287.35001,-0.0005568027563333959
222,287.40039,-0.0005543529803284508
223,287.45081,-0.0005537603011041625
224,287.50217,-0.000562740548412725
225,287.55035,-0.0005748099832379329
226,287.59998,-0.0005999692022422572
227,287.64996,-0.0006369287926873199
228,287.69989,-0.0006759182592901165
229,287.75104,-0.0007055606690125274
230,287.79831,-0.0007428508808482155
231,287.85062,-0.0008088415930754601
232,287.90018,-0.0008591593454549187
233,287.95032,-0.0008852193749977283
234,288.00012,-0.0008699667547335416
235,288.05255,-0.0007910321398192772
236,288.10217,-0.0007360492606374913
237,288.15024,-0.0007044454703181405
238,288.2002,-0.0006520042474915752
239,288.24994,-0.0005979613126297262
240,288.30023,-0.0005236590188185573
241,288.35052,-0.00045395098962938983
242,288.40002,-0.00038879216586608985
243,288.45071,-0.0003216996790726187
244,288.50076,-0.000259056226336177
245,288.55032,-0.00020923151786469282
246,288.60049,-0.00020219474563710872
247,288.64948,-0.00018011997933366528
248,288.69553,-0.00015551448133013635
249,288.75021,-0.00015463376158556072
250,288.80182,-0.00015456264954040054
251,288.84998,-0.0001675285132086917
252,288.89996,-0.00019102425910912
253,288.95169,-0.00022899231166701196
254,288.99966,-0.0002512949258210146
255,289.04977,-0.0002681454350226351
256,289.0993,-0.0002931549381724405
257,289.15063,-0.00031857537553283116
258,289.20087,-0.00034543712050844695
259,289.24985,-0.000373148850050927
260,289.30002,-0.0004030708695803122
261,289.34988,-0.0004295253371038724
262,289.40012,-0.00045865261361469984
263,289.45032,-0.0004886514840865282
264,289.50012,-0.0005165663880389644
265,289.54996,-0.000540393671084999
266,289.60046,-0.0005651846542786932
267,289.64963,-0.0005942657568842038
268,289.69995,-0.0006204152854771377
269,289.75101,-0.0006465749895235028
270,289.80054,-0.0006698512616951835
271,289.8508,-0.0006813389483362013
272,289.89972,-0.0007045248745440204
273,289.95078,-0.0007373562195357946
274,289.99954,-0.000763329919848706
275,290.05042,-0.0007933350794246218
276,290.10052,-0.0008150274141564049
277,290.15027,-0.0008118370873313287
278,290.19611,-0.000817254878857151
279,290.24991,-0.0008497597536922264
280,290.29803,-0.0008702118480055399
281,290.34988,-0.0008799170360702761
282,290.40036,-0.000862757864871176
283,290.45044,-0.0008009397400663229
284,290.50021,-0.0007607214213345922
285,290.54938,-0.0007392064535793125
286,290.60022,-0.0006880278571185723
287,290.64999,-0.0006253717722177806
288,290.70084,-0.0005476294567562483
289,290.75009,-0.000476183347125079
290,290.79944,-0.00040322959491294043
291,290.84988,-0.00033513959083271487
292,290.89935,-0.0002768770077559485
293,290.9501,-0.00022504942899830818
294,290.99973,-0.00019274096212003273
295,291.0499,-0.00018478925752693783
296,291.09967,-0.0001706519125218121
297,291.14932,-0.00014095945590868108
298,291.19955,-0.0001276187976030218
299,291.25043,-0.00012370481745816952
300,291.29901,-0.00012158222482049127
301,291.35208,-0.0001152728737684513
302,291.39993,-0.00010873853633874937
303,291.44974,-0.0001054970206872014
304,291.50055,-0.00010108502314267987
305,291.5502,-9.27377281205415e-05
306,291.59961,-7.419993459394583e-05
307,291.65012,-6.316888512380673e-05
308,291.7001,-6.272937739231655e-05
309,291.74918,-5.093203930122424e-05
310,291.80005,-4.2055504380190306e-05
311,291.85022,-3.572116833918988e-05
312,291.90009,-2.077056325245751e-05
313,291.95004,-1.3877841778098546e-05
314,292.00058,-1.01265286244583e-05
315,292.05038,-6.8155914347768525e-06
316,292.10043,-6.5704844960735205e-06
317,292.1503,5.405668734049279e-07
318,292.19937,1.7382412028512787e-05
319,292.25198,2.931827811738132e-05
320,292.29996,2.8976892950753587e-05
321,292.35019,3.64401295697551e-05
322,292.39993,4.887172977670924e-05
323,292.45029,6.873129427124186e-05
324,292.50146,0.00010234529033579998
325,292.54987,0.00012458460314718564
326,292.60007,0.00014160520588411604
327,292.64975,0.00016330623776242796
328,292.69431,0.0001851902474301694
329,292.75009,0.00022133749959199716
330,292.80057,0.00024842877421371546
331,292.85034,0.00027222133735004683
332,292.89951,0.0002965466727019812
333,292.94958,0.00032136018048167623
334,293.00128,0.00034477070393670737
335,293.04855,0.000356996836701296
336,293.09998,0.00037230092916644945
337,293.15009,0.0003877595024306409
338,293.19962,0.00039987375893868465
339,293.25003,0.00040917165027726596
340,293.30023,0.00040907890333983485
341,293.35028,0.0004135330776336039
342,293.40048,0.00042012083948157216
343,293.45093,0.0004227255629914969
344,293.49948,0.0004227813358911653
345,293.54889,0.00041961290784848755
346,293.60257,0.000413907112434409
347,293.64996,0.0004085199941166531
348,293.70001,0.00040739275220080806
349,293.75003,0.0004027227434710341
350,293.8009,0.00039507657131179205
351,293.84949,0.0003872510114354135
352,293.89996,0.000376921491237996
353,293.94965,0.00036875887838874185
354,294.00055,0.00035935262845440387
355,294.05014,0.0003486321247057381
356,294.10107,0.00033730973642554944
357,294.14832,0.000326601307688448
358,294.20148,0.0003189842966011886
359,294.25189,0.00030903149596155733
360,294.30011,0.00029556242983475213
361,294.34955,0.00028282069622590416
362,294.40088,0.000269635941297059
363,294.44971,0.0002614879293655093
364,294.50034,0.00026372507236967717
365,294.55023,0.00025811026441134274
366,294.59985,0.00024369263395863754
367,294.64932,0.00023528564947941232
368,294.70053,0.00023283150499649367
369,294.75,0.00024648155509675475
370,294.79926,0.000251791051838816
371,294.85071,0.0002468296169182947
372,294.90009,0.00025346936555226243
373,294.95062,0.0002655143311374304
374,295.00034,0.0002823682329908378
375,295.05008,0.000310016905277031
376,295.09998,0.00033513667387821325
377,295.1514,0.00035083222285216156
378,295.19998,0.0003715778276104041
379,295.29993,0.00041208571008688114
380,295.40082,0.0004515765035194617
381,295.50046,0.0004900743246412967
382,295.6001,0.000519669680390862
383,295.70068,0.0005486419278866589
384,295.80051,0.0005718079592350945
385,295.89987,0.0005869200369787886
386,295.99991,0.000594571820283113
387,296.10019,0.0005992546019278797
388,296.20007,0.0006064842228803632
389,296.30002,0.0006067271516418843
390,296.39941,0.0006048631347469726
391,296.50082,0.0006057117043020232
392,296.59991,0.0006129571697536312
393,296.69788,0.0006341289060336503
394,296.80032,0.0006428409151534071
395,296.9003,0.0006456529532035044
396,296.9989,0.0006588897967093983
397,297.10046,0.0006747399800791899
398,297.20053,0.000697118942519979
399,297.30069,0.0007300464825415116
400,297.40317,0.0007593619620758523
401,297.50046,0.0007754275120985914
402,297.5994,0.0007962323373112996
403,297.69995,0.0008216530497807034
404,297.80023,0.000847934539700509
405,297.9006,0.0008693116762201425
406,298.00058,0.0008863737812912291
407,298.09872,0.0009058186475927185
408,298.19989,0.0009229316492207016
409,298.29971,0.0009367978813610882
410,298.39929,0.0009527114880674891
411,298.49997,0.000967320391982367
412,298.60065,0.000977380161279191
413,298.70059,0.000986200036934786
414,298.80078,0.0009972850043817123
415,298.89948,0.0010078462722926142
416,299.00012,0.0010192966688168455
417,299.10123,0.0010336799933424164
418,299.2002,0.001057212506212439
419,299.29877,0.0010783800342658357
420,299.40088,0.0010911094399557232
421,299.50049,0.0011091598211564499
422,299.59116,0.0011300701216212696
423,299.69971,0.0011560036034958764
424,299.80005,0.0011806903936961602
425,299.90125,0.001210576316598129
426,300.0,0.001239112649064082
427,300.10059,0.001263770539129226
428,300.19827,0.0012909392367065021
429,300.30023,0.0013190997964316964
430,300.39987,0.0013481249919499035
431,300.49969,0.0013775293735036132
432,300.6001,0.001404257914515297
433,300.70038,0.0014313692015196315
434,300.80054,0.0014599037445049226
435,300.90009,0.0014882014052761039
436,301.00406,0.0015139071469299022
437,301.10019,0.00153482941936223
438,301.20059,0.0015598902901907362
439,301.29947,0.0015856314999371638
440,301.39966,0.0016096563693770813
441,301.50003,0.0016338926050874195
442,301.60022,0.0016567013600506913
443,301.70032,0.001671627163984378
444,301.80075,0.001688632516850848
445,301.89929,0.001711046913028881
446,301.9996,0.001729454266614119
447,302.10028,0.0017475067782874775
448,302.20062,0.0017628758928151641
449,302.30051,0.0017762136931932042
450,302.40039,0.0017843624738480778
451,302.49847,0.0017943539843692225
452,302.59909,0.0018092908107812519
453,302.70084,0.0018242269178007974
454,302.80035,0.0018398600632077268
455,302.90164,0.0018534263663686787
456,302.99927,0.0018652923330669314
457,303.10007,0.001875319540156368
458,303.19965,0.0018805285666424526
459,303.29926,0.0018891575381108445
460,303.40121,0.0019051097808739973
461,303.50006,0.00191908578117564
462,303.59949,0.0019275100267566216
463,303.70047,0.0019318514418879835
464,303.80032,0.0019333741426727645
465,303.90076,0.0019419449434911406
466,303.9996,0.0019518087882470332
467,304.10001,0.001957609040480961
468,304.20074,0.0019656123770502723
469,304.29895,0.001969574053634344
470,304.40024,0.001969289192134736
471,304.50095,0.0019712057966549687
472,304.59998,0.0019807121512607005
473,304.70029,0.001988868313903255
474,304.80045,0.001992760744580117
475,304.89951,0.001995230948810914
476,305.00021,0.0020002360177227706
477,305.10022,0.002011366604023586
478,305.20001,0.002021144753076448
479,305.29977,0.0020313038480416885
480,305.40097,0.002043513915110292
481,305.49945,0.0020531857863676233
482,305.60028,0.0020579407129760275
483,305.69803,0.0020673806380005176
484,305.79977,0.002074957639003203
485,305.90118,0.002080802627694554
486,305.99973,0.002092096074015462
487,306.09988,0.0021001616116441556
488,306.20001,0.0021075067525190257
